UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID
23,Mount Prospect,IL,US,60056,High School,Not Applicable,2002-01-01 00:00:00,3,10.0,Yes,No,0,0.0
698,Normal,IL,US,61761,None,,,4,7.0,Yes,No,0,
2305,Lake Forest,IL,US,60045,None,insurance,2010-12-01 00:00:00,4,9.0,Yes,No,0,180.0
2785,Chicago,IL,US,60607,Bachelor's,International Affairs,2005-01-01 00:00:00,6,10.0,Yes,No,0,191.0
3406,Joliet,IL,US,60435,Bachelor's,English,,3,20.0,No,Yes,350,40.0
4182,Burbank,IL,US,60459,Associate's,Administrative Assistant,2011-12-01 00:00:00,3,4.0,Yes,No,0,20.0
4768,Romeoville,IL,US,60446,High School,Not Applicable,1995-01-01 00:00:00,5,5.0,Yes,No,0,0.0
5080,Jerseyville,IL,US,62052,Associate's,Technology,1997-01-01 00:00:00,2,15.0,,No,0,128.0
5954,Roselle,IL,US,60172,None,,,0,,Yes,No,0,
7834,Chicago,IL,US,60633,Bachelor's,Paralegal Studies,,3,5.0,Yes,No,0,117.0
8137,Union,IL,US,60180,None,,,0,,No,No,0,
9157,Gurnee,IL,US,60031,None,,,0,,,No,0,
9884,Skokie,IL,US,60077,None,,,2,21.0,,No,0,
10370,Crystal Lake,IL,US,60014,High School,,2006-06-01 00:00:00,3,5.0,Yes,No,0,
10562,Montgomery,IL,US,60538,Associate's,General Education,2008-01-01 00:00:00,2,6.0,Yes,No,0,131.0
11060,Oak Brook,IL,US,60523,Bachelor's,"Computer Engineering, General",1991-01-01 00:00:00,6,17.0,No,No,0,110.0
11400,Chicago,IL,US,60614,Bachelor's,History/Research Intelligence Analysis Program and Political Science,1999-01-01 00:00:00,10,13.0,Yes,No,0,98.0
11844,Chicago,IL,US,60601,Bachelor's,Business Marketing,2011-01-01 00:00:00,4,6.0,,No,0,21.0
13552,Morton Grove,IL,US,60053,Associate's,Biology,2010-07-01 00:00:00,5,3.0,,No,0,0.0
13614,Naperville,IL,US,60564,Master's,Computer Science,,4,9.0,Yes,No,0,98.0
14674,Chicago,IL,US,60611,Master's,Accounting,,4,25.0,No,No,0,44.0
14744,Schaumburg,IL,US,60194,Bachelor's,Fine Arts,2005-01-01 00:00:00,3,7.0,No,Yes,10,111.0
14980,Midlothian,IL,US,60445,High School,Not Applicable,1998-01-01 00:00:00,4,9.0,Yes,Yes,20,0.0
15123,Arlington Heights,IL,US,60006,Master's,,1988-06-01 00:00:00,10,24.0,,No,0,
16003,Hazel Crest,IL,US,60429,High School,Business Administration,2006-06-01 00:00:00,7,7.0,Yes,No,0,80.0
18111,Chicago,IL,US,60601,Master's,Marketing,1998-01-01 00:00:00,7,16.0,Yes,No,0,23.0
20703,Edwardsville,IL,US,62025,Master's,,,3,11.0,,No,0,
21617,Tinley Park,IL,US,60477,High School,Not Applicable,1988-01-01 00:00:00,3,16.0,No,No,0,0.0
21727,Lacon,IL,US,61540,Bachelor's,Business,1999-01-01 00:00:00,6,15.0,No,Yes,100,21.0
22473,Chicago,IL,US,60637,Master's,communication,2013-06-01 00:00:00,4,7.0,No,No,0,194.0
24751,River Forest,IL,US,60305,Bachelor's,Criminal Justice,2004-08-01 00:00:00,6,5.0,,No,0,111.0
24848,Chicago,IL,US,60619,High School,Not Applicable,1982-01-01 00:00:00,6,16.0,Yes,No,0,0.0
26741,Chicago Heights,IL,US,60411,Bachelor's,Health Administration,2012-05-01 00:00:00,4,10.0,Yes,No,0,63.0
27699,Calumet City,IL,US,60409,None,Accounting,2010-02-01 00:00:00,6,8.0,No,No,0,44.0
27754,Chicago,IL,US,60659,Associate's,Science,2012-01-01 00:00:00,3,7.0,Yes,Yes,4,98.0
27813,Grayslake,IL,US,60030,None,"various -- accounting, computer programming, Spanich",1990-06-01 00:00:00,3,46.0,Yes,No,0,110.0
28836,Chicago,IL,US,60637,High School,Not Applicable,2004-11-01 00:00:00,4,11.0,Yes,No,0,0.0
29126,Evanston,IL,US,60202,Master's,Electrical Engineering,2011-05-01 00:00:00,3,14.0,,No,0,179.0
29566,Chicago,IL,US,60620,Master's,Urban Studies,,4,23.0,No,Yes,5,117.0
30786,Chicago,IL,US,60620,Associate's,,2003-01-01 00:00:00,4,5.0,Yes,No,0,
31058,New Lenox,IL,US,60451,None,Business Administration Program,2009-09-01 00:00:00,4,10.0,Yes,No,0,80.0
32423,Chicago,IL,US,60657,None,,,1,17.0,Yes,No,0,
33994,Buffalo Grove,IL,US,60089,None,interrogation,2012-04-01 00:00:00,5,20.0,,No,0,0.0
34768,Chicago,IL,US,60601,Associate's,Retail Management,2011-01-01 00:00:00,5,30.0,No,No,0,77.0
36829,Chicago,IL,US,60628,Master's,Business Administration,2014-05-01 00:00:00,8,6.0,Yes,No,0,80.0
37690,Belleville,IL,US,62220,High School,,1975-09-01 00:00:00,2,17.0,No,Yes,10,
37891,Chicago,IL,US,60632,None,,,3,8.0,,No,0,
38242,Chicago,IL,US,60620,Master's,Executive Masters Business Administration,2013-08-01 00:00:00,4,5.0,No,No,0,80.0
38435,Plainfield,IL,US,60586,High School,Not Applicable,2007-01-01 00:00:00,2,3.0,No,Yes,10,0.0
39548,Mundelein,IL,US,60060,Bachelor's,German Literature,2002-01-01 00:00:00,4,11.0,,No,0,0.0
39558,Chicago,IL,US,60618,High School,,2000-01-01 00:00:00,3,8.0,No,No,0,
40059,Arlington Heights,IL,US,60005,Bachelor's,Music Composition,2009-01-01 00:00:00,7,21.0,No,No,0,0.0
41530,Chicago,IL,US,60606,Master's,Mechanical Engineering,2010-06-01 00:00:00,2,2.0,Yes,No,0,148.0
41791,Oak Forest,IL,US,60452,High School,Not Applicable,1982-06-01 00:00:00,10,27.0,Yes,No,0,0.0
42034,Glendale Heights,IL,US,60139,None,,2009-01-01 00:00:00,9,4.0,,No,0,
42284,Schaumburg,IL,US,60193,None,,,4,43.0,No,Yes,180,
42587,Chicago,IL,US,60636,High School,Not Applicable,1986-01-01 00:00:00,3,13.0,,No,0,0.0
42875,Chicago,IL,US,60641,Vocational,Pharmacy Technician/Assistant,2006-06-01 00:00:00,1,12.0,No,No,0,164.0
44288,Skokie,IL,US,60077,None,"Administrative Assistant and Secretarial Science, General",,10,23.0,No,Yes,2,98.0
44505,Berwyn,IL,US,60402,None,business administration,,6,16.0,,No,0,80.0
45957,Northlake,IL,US,60164,None,,,4,19.0,No,Yes,15,
46716,Noble,IL,US,62868,High School,Industrial Technology/Technician,1984-05-01 00:00:00,6,19.0,No,Yes,12,173.0
48368,Bolingbrook,IL,US,60440,Bachelor's,Business,1995-01-01 00:00:00,7,13.0,Yes,No,0,21.0
48439,Chicago,IL,US,60616,Bachelor's,Communications Management,,2,8.0,Yes,No,0,124.0
52512,Lawrenceville,IL,US,62439,High School,"Anatomy, Biology, and World Studies",,0,,No,No,0,117.0
52839,Homer Glen,IL,US,60491,Master's,,,4,9.0,,No,0,
53013,Crestwood,IL,US,60445,PhD,none,2001-05-01 00:00:00,2,10.0,Yes,No,0,0.0
54902,South Elgin,IL,US,60177,None,,,3,13.0,No,No,0,
57362,Wheaton,IL,US,60187,Bachelor's,Civil & Environmental Engineering,2003-01-01 00:00:00,10,12.0,Yes,No,0,170.0
57744,Country Club Hills,IL,US,60478,High School,Certified Nursing Assistant,2012-04-01 00:00:00,2,0.0,No,No,0,130.0
57773,Chicago,IL,US,60649,High School,Not Applicable,1992-06-01 00:00:00,3,13.0,Yes,Yes,1,0.0
58363,Chicago,IL,US,60649,None,Mass Communication Area,2011-12-01 00:00:00,9,3.0,,No,0,182.0
59192,Joliet,IL,US,60436,High School,Not Applicable,,5,15.0,Yes,No,0,0.0
59593,South Elgin,IL,US,60177,Bachelor's,Accounting,,4,25.0,Yes,No,0,44.0
61403,Saint Charles,IL,US,60174,High School,,,5,9.0,,No,0,
62729,Bartlett,IL,US,60103-4104,High School,Not Applicable,1982-06-01 00:00:00,9,21.0,No,No,0,0.0
63254,Deerfield,IL,US,60015,Bachelor's,"History, General",1977-05-01 00:00:00,4,31.0,No,No,0,35.0
64557,Chicago,IL,US,60617,High School,Not Applicable,1993-06-01 00:00:00,6,12.0,Yes,Yes,5,0.0
65047,Chicago,IL,US,60614,Bachelor's,Information Systems,,3,3.0,,No,0,134.0
66137,Des Plaines,IL,US,60016,Bachelor's,,,0,,No,No,0,
66239,Walnut,IL,US,61376,Associate's,,,1,14.0,No,No,0,
67240,Elburn,IL,US,60119,None,,,4,16.0,No,No,0,
67804,Sycamore,IL,US,60178,Associate's,,2008-05-01 00:00:00,3,4.0,Yes,No,0,
68737,Glen Ellyn,IL,US,60137,Bachelor's,Communication Arts,,5,5.0,Yes,No,0,194.0
71131,Roselle,IL,US,60172,Bachelor's,Sports Management,2000-01-01 00:00:00,8,11.0,Yes,No,0,17.0
71152,Moline,IL,US,61265,Bachelor's,,2010-01-01 00:00:00,3,7.0,Yes,No,0,
71360,Homer Glen,IL,US,60491,Bachelor's,Mechanical Engineering,2012-05-01 00:00:00,5,6.0,Yes,No,0,148.0
72056,Chicago,IL,US,60613,Bachelor's,Medical Billing Kaplan Continuing Education,,4,20.0,No,No,0,131.0
72970,Evergreen Park,IL,US,60805,Master's,Homeland Security,,5,5.0,Yes,No,0,38.0
74454,Litchfield,IL,US,62056,None,General Studies,2009-05-01 00:00:00,2,3.0,No,No,0,117.0
75250,Chicago,IL,US,60647,High School,Not Applicable,2007-06-01 00:00:00,2,4.0,No,No,0,0.0
75632,Hazel Crest,IL,US,60429,High School,Not Applicable,2010-05-01 00:00:00,5,2.0,No,No,0,0.0
76623,Elk Grove Village,IL,US,60007,High School,Not Applicable,1989-06-01 00:00:00,5,16.0,,No,0,0.0
78945,East Moline,IL,US,61244,None,,,4,12.0,Yes,No,0,
79235,Crystal Lake,IL,US,60014,Bachelor's,Microbiology,,3,6.0,,No,0,0.0
79470,Addison,IL,US,60101,High School,Not Applicable,1980-01-01 00:00:00,3,29.0,No,No,0,0.0
79717,Alton,IL,US,62002,High School,Not Applicable,2009-05-01 00:00:00,2,3.0,No,No,0,0.0
81786,Naperville,IL,US,60565,Master's,,2012-04-01 00:00:00,5,13.0,Yes,No,0,
83658,Chicago,IL,US,60634,None,,2008-09-01 00:00:00,3,12.0,Yes,Yes,100,
84003,Chicago,IL,US,60611,Bachelor's,Advertising and Marketing,2008-01-01 00:00:00,3,7.0,No,Yes,80,23.0
