UserID,RecommendedJobs,JobID,Title,
12924,,130558,Maintenance Mechanic,
12924,,156776,Become a Teacher in Milwaukee. Apply by May 14.,
12924,,250223,Paralegal,
12924,,596006,Claim Service Representative,
12924,,688233,Teacher - Early Childhood Education/Preschool,
12924,,703571,One-To-One Aide,
12924,,774712,Purchasing Agent,
12924,,792423,Senior Program Operations Manager - Chicago Teaching Fellows,
12924,,910645,Lead Teachers - Kiddie Academy,
12924,,1059116,Exciting Kindergarten Teacher Opportunity in Bartlett!,
18947,,146644,Shipping & Receiving Clerk,
18947,,210547,Operations Supervisor,
18947,,270342,1ST/2ND SHIFT RECEIVING CLERKS,
18947,,331930,DIRECTOR OF OPERATIONS,
18947,,682113,"Warehouse Supervisor - Elk Grove Village, IL",
18947,,813951,Warehouse Supervisor,
18947,,814416,Shipping & Receiving Clerk,
18947,,951693,Facilities Supervisor II,
18947,,1007929,Warehouse Manager,
18947,,1077315,Shipping/Receiving Supervisor,
20976,,26102,Front Desk / Finance,
20976,,61869,Retail Sales Associate,
20976,,68104,Help Desk Lead,
20976,,217461,PC Rollout and Help Desk Specialist,
20976,,281608,IT Help Desk Support Specialist,
20976,,466830,Front Desk Coordinator / Reception Area Coordiantor,
20976,,491705,Service Desk Specialist,
20976,,596920,Front Desk Leader,
20976,,850483,IT Help Desk - Application Support,
20976,,899622,Help Desk Technician,
21412,,145161,Lead Engineer,
21412,,234460,Customer Service Supervisor,
21412,,373658,Restaurant Private Dining / Event Sales Manager,
21412,,374160,Home Health Aide (HHA) - Inpatient,
21412,,408498,Import Coordinator,
21412,,703571,One-To-One Aide,
21412,,851536,Activity Aide- LTC,
21412,,928594,Traffic Manager/Producer,
21412,,1038118,Automotive Sales Manager,
21412,,1069774,Customer Service Supervisor,
40564,,16336,Child Welfare Specialist,
40564,,44890,Case Manager,
40564,,138774,Behavioral Health Case Manager,
40564,,182469,Customer Service Rep 1 Job,
40564,,523372,"SAVE, Inc",
40564,,566758,Case Manager,
40564,,804647,Case Manager (Seeking experienced RNs for this highly collaborat,
40564,,823598,Case Manager FT position for Case Manager in Madison County,
40564,,916744,Foster Care Program Supervisor,
40564,,1059594,Case Manager/Social Worker,
44918,,20474,Security Analyst,
44918,,175495,Manager Enterprise Security,
44918,,182628,Temporary Special Event Security Officers,
44918,,382108,Senior Executive Assistant,
44918,,518026,Information Security Officer,
44918,,808185,ARMED Security Officer / Guard,
44918,,996420,Security Contract Manager,
44918,,1054410,"Security Officer - Evanston, IL 2nd Shift",
44918,,1083413,Security Officer/Mill E.Chicago/BE ABLE TO WORK ANY SHIFT/$9.62,
44918,,1086901,Director IT Security,
48505,,130955,LACK OF EXPERIENCE HURTING YOU? Entry Level Sales & Marketing,
48505,,130956,LACK OF EXPERIENCE HURTING YOU? Sales & Customer Service,
48505,,279238,Customer Service Specialist,
48505,,391094,Call Center Specialist,
48505,,602310,CUSTOMER SERVICE REPRESENTATIVE,
48505,,615724,Customer Service - Parts Department Order Specialist,
48505,,773292,Claims Service Specialist,
48505,,773296,Claims Service Specialist,
48505,,861085,Program Service Specialist,
48505,,869860,Team Manager OCR,
48894,,41389,Accountant,
48894,,314264,BOOKKEEPER / ACCOUNTANT,
48894,,381165,Senior Fund Accountant,
48894,,381166,Junior Accountant,
48894,,557046,Staff Accountant,
48894,,856283,Staff Accountant,
48894,,856657,Staff Accountant,
48894,,866002,Senior Accountant,
48894,,866004,Staff Accountant,
48894,,1061480,Entry Level Accountant,
51680,,348049,Senior Financial Analyst,
51680,,623611,Sr. Systems Analyst,
51680,,648042,Divisional Controller,
51680,,823086,Accounts Payable Specialist,
51680,,823088,Consumer Collector,
51680,,834317,Senior Accounting Analyst,
51680,,834318,Accounts Payable Specialist,
51680,,866002,Senior Accountant,
51680,,866004,Staff Accountant,
51680,,1061480,Entry Level Accountant,
65890,,35210,Assistant Regional Manager,
65890,,265386,Maintenance Manager/Engineer,
65890,,284123,Plant EHS Coordinator,
65890,,300776,Die maker,
65890,,582435,Purchasing Buyer,
65890,,845970,Plant Manager Food Manufacturing,
65890,,1051179,CNC Operator,
65890,,1061302,Maintenance Supervisor Heavy industrial manufacturer seeking,
65890,,1107605,Plant Manager,
65890,,1109223,Plant Manager,
68294,,2250,Residential Construction Superintendent,
68294,,512698,Medical Office/ Commercial Construction Superintendent,
68294,,523376,The Edwardsville School District has openings for: CUSTODIAL,
68294,,579280,Entry Level Construction Management,
68294,,644267,Grounds and Facilities Supervisor,
68294,,669750,SANITATION SUPERINTENDENT,
68294,,768037,Superintendent,
68294,,811932,Construction Superintendant *** Part Time *** Up To $30/hr,
68294,,817466,Construction,
68294,,1051895,Construction Site Superintendent,
84617,,110989,Bank Teller- Banking Customer Service Representative,
84617,,130955,LACK OF EXPERIENCE HURTING YOU? Entry Level Sales & Marketing,
84617,,130956,LACK OF EXPERIENCE HURTING YOU? Sales & Customer Service,
84617,,411066,Banking Customer Service Rep – Teller,
84617,,430910,"IF THERE WAS A PROBLEM, YO I'LL SOLVE IT - Entry Level Sales",
84617,,602310,CUSTOMER SERVICE REPRESENTATIVE,
84617,,631970,VICE PRESIDENT of CUSTOMER SERVICE,
84617,,869860,Team Manager OCR,
84617,,980905,Bank Teller- Banking Customer Service Representative,
84617,,980907,Teller- Banking Customer Service Rep -Part Time,
95089,,766,MARKETING/ Social Media intern,
95089,,24422,Marketing Coordinator,
95089,,288063,ASE Certified Technical Sales Consultant-Auto,
95089,,311211,Senior Product Engineer,
95089,,478365,Web/Graphic Designer,
95089,,498767,Marketing Manager,
95089,,617350,Marketing and Sales Assistant,
95089,,664041,Interior Designer/Interior Design Sales Consultant,
95089,,886000,Design Engineer,
95089,,1110857,Sales - Design Consultant,
113510,,137118,Customer Service Manager,
113510,,204447,"Per Diem / Medical Screening Lead - Wheaton, Lisle, Downers Grov",
113510,,219991,Floating Copy and Mail Specialist,
113510,,469574,Staff Performance Manager,
113510,,511268,"Senior Manager, Residential Properties",
113510,,680379,"Manager, Manufacturing Engineering & Site Coordinator",
113510,,749120,Global Private Web Site Experience Manager,
113510,,848283,Program Coordinator,
113510,,879994,Camp Counselor,
113510,,898653,Human Resources Coordinator,
113849,,80922,Accounts Payable Specialist,
113849,,146644,Shipping & Receiving Clerk,
113849,,152574,Shipping and Receiving,
113849,,164236,Warehouse Manager,
113849,,256869,Accounts Receivable Ckerk,
113849,,270195,Warehouse Clerk needed in Lemont,
113849,,270342,1ST/2ND SHIFT RECEIVING CLERKS,
113849,,814416,Shipping & Receiving Clerk,
113849,,856221,Billing Clerk,
113849,,876961,TEMPORARY ADMINISTRATIVE CLERK,
124914,,130955,LACK OF EXPERIENCE HURTING YOU? Entry Level Sales & Marketing,
124914,,130956,LACK OF EXPERIENCE HURTING YOU? Sales & Customer Service,
124914,,315517,Field Service Technician,
124914,,430910,"IF THERE WAS A PROBLEM, YO I'LL SOLVE IT - Entry Level Sales",
124914,,534854,SERVICE TECHNICIAN,
124914,,551801,Experienced Cable Television Technician - CATV,
124914,,602310,CUSTOMER SERVICE REPRESENTATIVE,
124914,,631968,DIRECTOR OF FINANCE / SENIOR FINANCE MANAGER,
124914,,823587,"Service Technician needed in Lebanon, IL",
124914,,846984,Service Technician,
131720,,238051,Controller,
131720,,354420,Property Accountant,
131720,,518135,Assistant Controller,
131720,,612299,Senior Staff Accountant,
131720,,648042,Divisional Controller,
131720,,758695,Cost Accountant,
131720,,792664,Controller,
131720,,821331,Staff Accountant,
131720,,838760,Controller for Successful Construction Company (Timberline),
131720,,967552,Accounting Manager- Large Privately Held Company,
131863,,47341,Inside Sales Customer Service Manager,
131863,,161433,Customer Service Manager,
131863,,201925,"AUTOMOTIVE SALES, SERVICE AND PARTS",
131863,,332522,Customer Service Manager - Virtual Contact Center,
131863,,614133,Customer Service Manager,
131863,,631970,VICE PRESIDENT of CUSTOMER SERVICE,
131863,,632580,Customer Service Manager - Virtual Contact Center,
131863,,662186,Route Sales Representative,
131863,,682340,Restaurant Co-Manager – Fast Food Service Co-Manager,
131863,,767211,Assistant Customer Service Supervisor,
134337,,20474,Security Analyst,
134337,,175495,Manager Enterprise Security,
134337,,182628,Temporary Special Event Security Officers,
134337,,382108,Senior Executive Assistant,
134337,,518026,Information Security Officer,
134337,,808185,ARMED Security Officer / Guard,
134337,,996420,Security Contract Manager,
134337,,1054410,"Security Officer - Evanston, IL 2nd Shift",
134337,,1083413,Security Officer/Mill E.Chicago/BE ABLE TO WORK ANY SHIFT/$9.62,
134337,,1086901,Director IT Security,
134943,,91599,BMW - Boutique Sales,
134943,,187824,$12.65 to start / Customer Service Sales,
134943,,201925,"AUTOMOTIVE SALES, SERVICE AND PARTS",
134943,,288063,ASE Certified Technical Sales Consultant-Auto,
134943,,461997,Inside Sales Consultant,
134943,,546889,"Cust Ser Rep, Contact Ctr",
134943,,698769,"Personal Banker- Waukegan, IL  Bilingual Spanish Speaking pref",
134943,,768108,Sales Assistants,
134943,,784644,Inside Sales Associate,
134943,,806841,Telephone Sales Specialist,
135987,,95618,Service Representative,
135987,,110989,Bank Teller- Banking Customer Service Representative,
135987,,212095,Call Center Customer Service Rep ~ Work From Home! $10/hr,
135987,,602310,CUSTOMER SERVICE REPRESENTATIVE,
135987,,638429,Customer Service w/ Manufacturing Experience,
135987,,820704,Service Representative - Bank Teller,
135987,,874995,Sales Representative,
135987,,980300,Part-time Customer Service Representative,
135987,,980905,Bank Teller- Banking Customer Service Representative,
135987,,1104317,Customer Service Representative - Call Center,
140031,,377642,Residential Lawn Specialists,
140031,,379668,Member Services Associate,
140031,,380891,Accounts Payable Processor,
140031,,381165,Senior Fund Accountant,
140031,,381166,Junior Accountant,
140031,,381181,Commercial Sales Manager - Automotive Parts,
140031,,381453,***IMMEDIATE HIRE*** ENTRY LEVEL OPENINGS-NO EXPERIENCE!,
140031,,914938,Drafter / Editor,
140031,,1035963,Online Web Editor,
140031,,1115925,Normal - Instore Retail Banker,
143504,,766,MARKETING/ Social Media intern,
143504,,24153,Regional Accounts Receivable Consultant,
143504,,92251,Training Consultant,
143504,,167280,Property Administrator,
143504,,288063,ASE Certified Technical Sales Consultant-Auto,
143504,,324567,Trainee Executive Search - Chicago - Ambitious College Grads,
143504,,461997,Inside Sales Consultant,
143504,,556115,RN Consultant - Pharmacy,
143504,,902928,"Macy's The Promenade Bolingbrook, Bolingbrook, IL: Gift Registry",
143504,,1072848,"Senior Consultant, Engagement Management",
144466,,377481,"Management Trainee -Peoria, IL",
144466,,381453,***IMMEDIATE HIRE*** ENTRY LEVEL OPENINGS-NO EXPERIENCE!,
144466,,381975,AP / AR Clerk,
144466,,381976,Revenue Cycle Manager,
144466,,382108,Senior Executive Assistant,
144466,,382149,Advertising Design Manager,
144466,,382173,Part-time Warehouse Associate - 1st shift Receiving,
144466,,382487,Customer Service Representative,
144466,,382814,Retail Branch Manager - Back of the Yards-  12004390,
144466,,1115925,Normal - Instore Retail Banker,
149135,,13986,"Director, Nursing Informatics",
149135,,161518,Business Management Program Director,
149135,,211022,HR Generalist,
149135,,259967,Public Relations Manager,
149135,,379668,Member Services Associate,
149135,,761803,Director of Maintenance,
149135,,777461,Membership Data and Analysis Manager,
149135,,809851,Branch Manager,
149135,,933986,Executive Director,
149135,,1088105,Public Relations Manager,
150458,,178413,Crew Leader - Landscape Maintenance,
150458,,260065,LINE SERVICE TECHNICIAN,
150458,,350000,Human Resource Coordinator,
150458,,377336,Customer Service Representative,
150458,,379668,Member Services Associate,
150458,,488110,Assistant Branch Manager - Willis/O'Hare Branch,
150458,,616778,Crew Scheduler,
150458,,638382,Teller,
150458,,777461,Membership Data and Analysis Manager,
150458,,1060591,"Part-time Evening Cleaning Crew (5-9 PM, M-F)",
155601,,380891,Accounts Payable Processor,
155601,,381165,Senior Fund Accountant,
155601,,381166,Junior Accountant,
155601,,381181,Commercial Sales Manager - Automotive Parts,
155601,,381453,***IMMEDIATE HIRE*** ENTRY LEVEL OPENINGS-NO EXPERIENCE!,
155601,,381975,AP / AR Clerk,
155601,,381976,Revenue Cycle Manager,
155601,,489323,Collections Representative,
155601,,720314,Medical biller,
155601,,1115925,Normal - Instore Retail Banker,
162839,,25656,Gas Technician I- Excellent Benefits,
162839,,77065,B Level Technician,
162839,,164418,"Process/Mold Technician--NW Chicago, IL",
162839,,241357,Field Technician,
162839,,315517,Field Service Technician,
162839,,335872,QATechnician/Lab Tech,
162839,,453657,Pharmacy Technician,
162839,,590307,PLC Maintenance Technicians - Automotive/Robotics,
162839,,664960,Lubrication Maintenance Technician –Industrial Food Lab Mechanic,
162839,,759940,Helpdesk Technician,
168758,,51962,Research Associate,
168758,,205647,HR Generalist,
168758,,211022,HR Generalist,
168758,,218288,University of Illinois at Chicago,
168758,,259967,Public Relations Manager,
168758,,577653,Marketing Assistant,
168758,,642548,Marketing Communications Manager,
168758,,774026,Communications Specialist - Marketing,
168758,,878359,Associate / Senior Associate for Chicago Office,
168758,,1088105,Public Relations Manager,
172319,,137118,Customer Service Manager,
172319,,279245,Cashier,
172319,,386370,Customer Service Representative,
172319,,524012,Customer Service Representative,
172319,,546889,"Cust Ser Rep, Contact Ctr",
172319,,576821,Cashier / Customer Service Representative,
172319,,941655,Part-Time Customer Service Representative (Teller),
172319,,999469,Lead Customer Service Representative,
172319,,1009718,Client Services Manager - JCR,
172319,,1079852,DATA ENTRY/PROCESSING,
173108,,13420,Nurse--RNs or LPNs,
173108,,13421,CNAs---weekends only,
173108,,13422,Assistant Director of Nursing,
173108,,23442,Sales Manager,
173108,,302700,Cashier - Hiring Event,
173108,,373544,SHOP MANAGER,
173108,,465558,SR ACCOUNTANT FOR FORTUNE 300 COMPANY,
173108,,500681,Customer Service/Inside Sales Associate,
173108,,616919,Managers in Training!,
173108,,1103017,Sales Contractor,
176198,,66956,Executive Assistant,
176198,,159188,Corporate Legal Assistant for TOP GENERAL COUNSEL! to 55K,
176198,,242312,General Labor - Foundry/automotive manu experience,
176198,,270107,Picker/Packers,
176198,,554639,Construction Laborers Needed,
176198,,880116,General Warehouse/Projects,
176198,,916392,Echo / Vascular / General Ultrasound Techs,
176198,,951693,Facilities Supervisor II,
176198,,960305,Restaurant General Manager – Fast Food Service General Manager,
176198,,1086969,Supervisor Of General Ledger,
188711,,242312,General Labor - Foundry/automotive manu experience,
188711,,415217,Hiring Forklift Operators,
188711,,434309,Sit-down Forklift Operator,
188711,,512227,Material Handlers/Forklift Operators ... $10/hr + Potential OT,
188711,,512240,General Warehouse Picker/ Forklift Operator ... $9/Hour,
188711,,764603,Experienced Forklift Operators Needed,
188711,,778577,Forklift Operator,
